,0,1,2,3,4,5,6,7
163,2019.0,10.0,21.0,15.0,30.0,11.62777778,15.6,9.2
164,2018.0,12.0,31.0,21.0,0.0,6.416666667,10.3,9.8
165,2019.0,4.0,20.0,23.0,15.0,9.866666667,12.1,11.3
166,2019.0,3.0,8.0,2.0,15.0,5.011111111,7.1,7.1
167,2018.0,12.0,23.0,13.0,30.0,3.044444444,15.3,9.6
168,2019.0,1.0,11.0,22.0,30.0,4.438888888999999,9.3,10.4
169,2019.0,1.0,8.0,7.0,15.0,5.377777778,8.6,8.8
170,2019.0,10.0,22.0,4.0,15.0,11.58333333,0.0,6.6
171,2019.0,1.0,20.0,3.0,15.0,1.172222222,12.6,13.0
172,2019.0,7.0,28.0,14.0,45.0,20.80555556,10.9,15.0
173,2019.0,7.0,29.0,16.0,0.0,21.68888889,12.7,22.5
174,2019.0,4.0,10.0,9.0,15.0,3.383333333,0.0,0.0
175,2019.0,10.0,11.0,20.0,45.0,12.98888889,8.5,8.6
176,2019.0,10.0,5.0,11.0,30.0,8.066666667,26.0,21.9
177,2019.0,4.0,3.0,2.0,15.0,7.1388888889999995,0.0,0.0
178,2019.0,4.0,27.0,10.0,30.0,8.805555556,5.9,13.5
179,2019.0,9.0,2.0,5.0,45.0,14.12777778,7.7,3.0
180,2019.0,3.0,10.0,10.0,15.0,4.294444444,9.2,8.8
181,2019.0,5.0,17.0,10.0,0.0,10.90555556,9.3,8.9
182,2019.0,4.0,23.0,16.0,15.0,12.72777778,8.8,4.0
183,2019.0,11.0,7.0,21.0,45.0,6.95,11.3,11.3
184,2019.0,8.0,9.0,22.0,30.0,19.18333333,14.3,11.8
185,2019.0,9.0,28.0,0.0,45.0,13.39444444,8.8,8.6
186,2019.0,9.0,20.0,11.0,30.0,14.97222222,4.7,4.0
187,2019.0,6.0,18.0,4.0,30.0,16.94444444,8.7,6.9
188,2019.0,6.0,19.0,1.0,30.0,17.29444444,10.7,11.3
189,2019.0,7.0,3.0,12.0,45.0,15.37222222,12.2,14.2
190,2019.0,4.0,25.0,4.0,15.0,10.66111111,5.4,4.5
191,2019.0,8.0,6.0,22.0,0.0,19.22222222,30.9,25.7
192,2019.0,9.0,14.0,14.0,0.0,16.66666667,19.9,13.7
193,2019.0,3.0,18.0,20.0,15.0,4.95,10.3,10.5
194,2019.0,2.0,2.0,18.0,15.0,2.2166666669999997,11.3,20.1
195,2019.0,2.0,24.0,11.0,30.0,5.488888889,12.4,10.3
196,2019.0,1.0,9.0,21.0,15.0,3.044444444,11.0,10.8
197,2019.0,3.0,12.0,18.0,0.0,4.688888888999999,8.7,10.7
198,2019.0,9.0,27.0,10.0,30.0,15.17222222,9.8,14.7
199,2019.0,10.0,26.0,8.0,30.0,13.43333333,16.7,13.3
200,2019.0,6.0,17.0,17.0,15.0,19.04444444,6.9,9.8
201,2019.0,5.0,13.0,18.0,45.0,10.66111111,14.1,4.4
202,2019.0,7.0,22.0,0.0,30.0,15.95555556,29.8,26.9
203,2019.0,4.0,16.0,17.0,30.0,8.538888888999999,0.0,0.0
204,2019.0,3.0,15.0,1.0,30.0,5.011111111,10.5,10.0
205,2019.0,2.0,2.0,10.0,0.0,1.877777778,19.9,9.3
206,2019.0,1.0,1.0,20.0,0.0,5.422222222,10.3,10.2
207,2019.0,11.0,11.0,11.0,45.0,7.161111111,8.8,7.2
208,2019.0,10.0,9.0,3.0,15.0,11.12777778,0.0,0.0
209,2019.0,7.0,12.0,7.0,15.0,16.55,33.2,36.0
210,2019.0,3.0,10.0,19.0,15.0,3.672222222,10.5,10.6
211,2019.0,5.0,25.0,20.0,30.0,11.51111111,19.7,18.7
212,2019.0,8.0,18.0,15.0,15.0,17.26111111,9.1,14.0
213,2019.0,5.0,15.0,18.0,30.0,12.06666667,9.6,5.2
214,2019.0,10.0,1.0,19.0,30.0,11.57222222,9.2,8.9
215,2019.0,8.0,10.0,17.0,0.0,19.7,8.8,14.8
216,2019.0,11.0,14.0,21.0,0.0,7.061111111000001,10.9,10.5
217,2019.0,8.0,26.0,2.0,15.0,18.82222222,9.5,9.3
218,2019.0,8.0,19.0,18.0,15.0,18.10555556,10.7,18.0
219,2019.0,9.0,5.0,5.0,15.0,13.98888889,0.0,0.0
